platform,client,n,fast,avg,slow
"[""Cloudflare"",""Shopify"",""Web1""]",desktop,210,0.97142857142857142,0.047619047619047616,0.014285714285714285
"[""GoDaddy Website Builder""]",desktop,2882,0.96911866759195009,0.030534351145038167,0.0027758501040943788
"[""Framer""]",desktop,4402,0.96251703771013175,0.067469332121762829,0.0054520672421626533
"[""GitHub Pages""]",desktop,6969,0.95766968001147945,0.11378963983354858,0.0061701822356148659
"[""000webhost"",""Cloudflare"",""Shopify""]",desktop,444,0.954954954954955,0.067567567567567571,0.0067567567567567571
"[""Squarespace""]",desktop,46178,0.94889341244748582,0.060418381047251939,0.0010827666854346225
"[""Shopify"",""Vercel""]",desktop,203,0.94581280788177335,0.083743842364532015,0.009852216748768473
"[""Cloudflare"",""Shopify""]",desktop,231970,0.93926369789196884,0.0666465491227314,0.019256800448333836
"[""HubSpot"",""Vercel""]",desktop,377,0.93899204244031831,0.16180371352785147,0.018567639257294429
"[""Cloudflare"",""Weebly""]",desktop,5734,0.925531914893617,0.076735263341471918,0.0041855598186257411
"[""Vercel""]",desktop,54720,0.921875,0.11167763157894736,0.014802631578947368
"[""Cloudflare"",""GitHub Pages""]",desktop,1475,0.91661016949152541,0.23186440677966103,0.0088135593220338981
"[""AWS CloudFront"",""HubSpot""]",desktop,3534,0.889926428975665,0.13723825693265421,0.0365025466893039
"[""Cloudflare"",""Shopify"",""Web1""]",mobile,333,0.88288288288288286,0.19219219219219219,0.012012012012012012
"[""Cloudflare"",""Shopify""]",mobile,391737,0.84951127925113024,0.18175970102390124,0.034834595659843211
"[""Squarespace""]",mobile,73770,0.84844787854141246,0.16551443676291175,0.016456554154805476
"[""000webhost"",""Cloudflare"",""Shopify""]",mobile,770,0.8467532467532467,0.19480519480519481,0.016883116883116882
"[""Cloudflare"",""HubSpot""]",desktop,7165,0.83935799023028612,0.2107466852756455,0.054989532449406839
"[""Seravo""]",desktop,1152,0.81076388888888884,0.17534722222222221,0.036458333333333336
"[""AWS CloudFront"",""Netlify""]",desktop,121,0.80991735537190079,0.46280991735537191,0.099173553719008267
"[""Cloudflare"",""Wix""]",desktop,3820,0.8041884816753927,0.14109947643979057,0.06413612565445026
"[""AWS CloudFront"",""Vercel""]",desktop,324,0.80246913580246915,0.41666666666666669,0.083333333333333329
"[""GoDaddy Website Builder""]",mobile,13797,0.8016235413495687,0.19460752337464665,0.015510618250344277
"[""Cloudflare"",""Wix""]",mobile,16896,0.80113636363636365,0.18507339015151514,0.032315340909090912
"[""Shopify"",""Vercel""]",mobile,274,0.791970802919708,0.30656934306569344,0.040145985401459854
"[""AWS CloudFront"",""Cloudflare"",""HubSpot""]",desktop,150,0.78666666666666663,0.36,0.10666666666666667
