platform,client,n,fast,avg,slow
"[""GoDaddy Website Builder""]",desktop,3536,0.956447963800905,0.041572398190045247,0.0019796380090497737
"[""000webhost"",""Cloudflare"",""Shopify""]",desktop,556,0.95143884892086328,0.046762589928057555,0.0017985611510791368
"[""Framer""]",desktop,6946,0.949611287071696,0.049093003167290525,0.0012957097610135329
"[""Shopify"",""Vercel""]",desktop,253,0.94466403162055335,0.047430830039525688,0.0079051383399209481
"[""Squarespace""]",desktop,60304,0.93340408596444679,0.066048686654284955,0.00054722738126824089
"[""Cloudflare"",""Shopify"",""Web1""]",desktop,261,0.93103448275862066,0.061302681992337162,0.0076628352490421452
"[""GitHub Pages""]",desktop,13494,0.92826441381354674,0.0705498740180821,0.0011857121683711278
"[""Cloudflare"",""Shopify""]",desktop,287423,0.92078922006937514,0.061139853108484708,0.01807092682214019
"[""Cloudflare"",""Weebly""]",desktop,7219,0.90760493143094612,0.088793461698296161,0.0036016068707577227
"[""Vercel""]",desktop,74548,0.901244835542201,0.090438375274990615,0.0083167891828083915
"[""HubSpot"",""Vercel""]",desktop,497,0.89738430583501,0.098591549295774641,0.0040241448692152921
"[""Cloudflare"",""GitHub Pages""]",desktop,2588,0.85819165378670792,0.13948995363214839,0.00231839258114374
"[""Cloudflare"",""Shopify"",""Web1""]",mobile,373,0.85254691689008044,0.14209115281501342,0.0053619302949061663
"[""000webhost"",""Cloudflare"",""Shopify""]",mobile,846,0.84042553191489366,0.14893617021276595,0.010638297872340425
"[""AWS CloudFront"",""HubSpot""]",desktop,3712,0.83701508620689657,0.13846982758620691,0.02451508620689655
"[""Cloudflare"",""Shopify""]",mobile,435915,0.82605553835036649,0.14825137928265833,0.025693082366975213
"[""Squarespace""]",mobile,85921,0.796801713201662,0.19476030306909836,0.0084379837292396509
"[""GoDaddy Website Builder""]",mobile,14440,0.7898891966759003,0.19709141274238226,0.013019390581717451
"[""Shopify"",""Vercel""]",mobile,317,0.77917981072555209,0.20189274447949526,0.018927444794952682
"[""Cloudflare"",""HubSpot""]",desktop,9179,0.77916984420960889,0.18204597450702692,0.0387841812833642
"[""GitHub Pages""]",mobile,12532,0.77290137248643476,0.21935844238748803,0.0077401851260772425
"[""Seravo""]",desktop,1332,0.771021021021021,0.1966966966966967,0.032282282282282283
"[""Cloudflare"",""Wix""]",mobile,18121,0.76999061861928153,0.19176645880470172,0.038242922576016775
"[""Azure"",""Cloudflare""]",mobile,3241,0.75254551064486275,0.18389385991977786,0.06356062943535945
"[""Cloudflare"",""Wix""]",desktop,5087,0.73029290347945741,0.19048555140554355,0.079221545114999015
"[""Framer""]",mobile,9368,0.70228437233134078,0.28874893253629375,0.008966695132365499
"[""Seravo""]",mobile,1891,0.6996298254891592,0.26546800634584877,0.034902168164992066
"[""Vercel""]",mobile,123630,0.69583434441478609,0.28064385666909325,0.023521798916120683
"[""Cloudflare"",""Web1""]",desktop,1578,0.69328263624841568,0.23574144486692014,0.070975918884664133
"[""Wix""]",mobile,159498,0.68836599831972811,0.24291840650039498,0.068715595179876868
"[""Cloudflare"",""Squarespace""]",mobile,109,0.68807339449541283,0.24770642201834864,0.064220183486238536
"[""AWS CloudFront"",""Vercel""]",desktop,355,0.6873239436619718,0.28732394366197184,0.025352112676056339
"[""Zone.eu""]",desktop,3652,0.68400876232201535,0.26314348302300111,0.052847754654983571
"[""AWS CloudFront"",""OpenNext""]",desktop,1695,0.67846607669616521,0.26371681415929205,0.057817109144542772
"[""Akamai"",""Cloudflare"",""Web1""]",desktop,127,0.67716535433070868,0.29921259842519687,0.023622047244094488
"[""Cloudflare"",""GitHub Pages""]",mobile,2592,0.67399691358024694,0.31597222222222221,0.010030864197530864
"[""HubSpot"",""Vercel""]",mobile,454,0.66960352422907488,0.30396475770925108,0.02643171806167401
"[""Pantheon""]",desktop,13284,0.664257753688648,0.26979825353809095,0.065943992773261059
"[""AWS CloudFront"",""Netlify""]",desktop,137,0.66423357664233573,0.291970802919708,0.043795620437956206
"[""AWS CloudFront""]",desktop,171927,0.66188556771187768,0.28637735783210316,0.051737074456019126
"[""AWS CloudFront"",""Cloudflare"",""HubSpot""]",desktop,174,0.65517241379310343,0.2988505747126437,0.045977011494252873
"[""Cloudflare"",""Web1""]",mobile,1797,0.64496382860322765,0.27434613244296047,0.08069003895381191
"[""AlwaysData""]",desktop,825,0.64363636363636367,0.30787878787878786,0.048484848484848485
"[""Netlify""]",desktop,17700,0.63870056497175143,0.31915254237288138,0.042146892655367231
"[""AWS CloudFront"",""Azure""]",desktop,156,0.63461538461538458,0.33333333333333331,0.032051282051282048
"[""Acquia"",""Cloudflare""]",desktop,3639,0.63121736740862877,0.32536411101951085,0.0434185215718604
"[""Fly.io""]",desktop,982,0.6252545824847251,0.31873727087576376,0.0560081466395112
"[""000webhost""]",desktop,220,0.62272727272727268,0.27272727272727271,0.10454545454545454
"[""Wix""]",desktop,51449,0.62042022196738522,0.24377538922039302,0.13580438881222182
"[""Cloudflare"",""Weebly""]",mobile,18608,0.59888220120378333,0.39370163370593292,0.007416165090283749
"[""Automattic""]",desktop,27782,0.59858901446980062,0.26891512490101505,0.13249586062918436
"[""Cloudflare"",""Fly.io""]",desktop,565,0.59823008849557524,0.34513274336283184,0.05663716814159292
"[""AWS CloudFront"",""Acquia""]",desktop,332,0.59638554216867468,0.35542168674698793,0.048192771084337352
"[""Acquia""]",desktop,3359,0.58767490324501337,0.33670735337898183,0.07561774337600477
"[""Web1""]",desktop,2653,0.58688277421786661,0.31813041839427064,0.09498680738786279
"[""Zone.eu""]",mobile,4561,0.585617189212892,0.35080026310019735,0.063582547686910768
"[""AlwaysData""]",mobile,1516,0.57585751978891819,0.36279683377308708,0.061345646437994721
"[""Acquia"",""Akamai""]",desktop,719,0.56606397774687067,0.38108484005563281,0.052851182197496523
"[""Cloudflare"",""Vercel""]",desktop,12484,0.56304069208586993,0.36743031079782124,0.069528997116308874
"[""AWS CloudFront"",""Cloudflare""]",desktop,9658,0.56067508800993993,0.37109132325533234,0.0682335887347277
"[""AWS CloudFront""]",mobile,257755,0.55333165215029778,0.37778122635836359,0.068887121491338674
"[""Cloudflare"",""HubSpot""]",mobile,8325,0.55267267267267273,0.38474474474474474,0.062582582582582577
"[""HubSpot"",""Netlify""]",desktop,107,0.55140186915887845,0.3925233644859813,0.056074766355140186
"[""Akamai"",""Cloudflare"",""Web1""]",mobile,167,0.55089820359281438,0.38323353293413176,0.0658682634730539
"[""Cloudflare"",""Netlify""]",desktop,2854,0.55010511562718989,0.39663629992992294,0.053258584442887176
"[""AWS CloudFront"",""Acquia""]",mobile,322,0.5496894409937888,0.391304347826087,0.059006211180124224
"[""Azure""]",desktop,21080,0.54705882352941182,0.36181214421252372,0.091129032258064513
"[""Akamai"",""Cloudflare""]",desktop,3404,0.54406580493537016,0.34811985898942421,0.10781433607520564
"[""Cloudflare""]",desktop,969366,0.52573125114765729,0.36049438498977682,0.11377436386256584
"[""000webhost"",""Cloudflare""]",desktop,371,0.52021563342318056,0.37735849056603776,0.10242587601078167
"[""Web1""]",mobile,3512,0.51907744874715267,0.36389521640091116,0.11702733485193621
"[""Automattic""]",mobile,56720,0.51884696755994353,0.39245416078984485,0.088698871650211564
"[""Cloudflare"",""HubSpot"",""WP Engine""]",desktop,305,0.51475409836065578,0.4459016393442623,0.039344262295081971
"[""AWS CloudFront"",""Cloudflare""]",mobile,15763,0.51405189367506188,0.40956670684514368,0.076381399479794457
